,date_time,street_name,lat,lng
137,2017-01-06 11:20:00,100 WASHINGTON STREET,32.749871,-117.160877
138,2017-01-06 11:30:00,3800 MISSION BOULEVARD,32.801057,-117.25687099999999
139,2017-01-06 12:00:00,3900 CLEVELAND AVENUE,32.750335,-117.150675
140,2017-01-06 12:00:00,11200 CAM RUIZ  ,39.78373,-100.445882
141,2017-01-06 12:50:00,2700 TORREY PINES ROAD,32.844972999999996,-117.26973799999999
142,2017-01-06 13:20:00,8900 CAM SANTA FE  ,39.78373,-100.445882
143,2017-01-06 13:45:00,2100 54TH STREET,32.761545,-117.079396
144,2017-01-06 13:53:00,12600 TORREY PINES ROAD,32.844972999999996,-117.26973799999999
145,2017-01-06 14:00:00,8500 MISSION GORGE ROAD,32.796038,-117.09488600000002
146,2017-01-06 14:50:00,4500 COLLWOOD BOULEVARD,32.764365999999995,-117.083473
147,2017-01-06 15:00:00,2200 HOTEL CIRCLE,39.78373,-100.445882
148,2017-01-06 15:03:00,2400 TORREY PINES ROAD,32.844972999999996,-117.26973799999999
149,2017-01-06 15:34:00,0 I-5 SB  ,39.78373,-100.445882
150,2017-01-06 16:35:00,2100 STATION VILLAGE WAY,39.78373,-100.445882
151,2017-01-06 16:45:00,4700 KENSINGTON DRIVE,32.76495,-117.107307
152,2017-01-06 17:00:00,7000 FRIARS ROAD,32.764082,-117.19319499999999
153,2017-01-06 17:20:00,600 BROADWAY  ,32.627185,-117.088407
154,2017-01-06 17:20:00,4500 MANITOU WAY,32.833599,-117.19473
155,2017-01-06 18:13:00,1000 EUCLID AVENUE,32.748447,-117.092293
156,2017-01-06 18:25:00,3900 WABASH AVENUE,32.749177,-117.12080300000001
157,2017-01-06 18:27:00,6000 CARMEL VALLEY ROAD,32.93201,-117.241956
158,2017-01-06 19:19:00,3000 CONNER WAY,32.817677,-117.219307
159,2017-01-06 20:41:00,4500 CLAIREMONT DRIVE,32.828402000000004,-117.206075
160,2017-01-06 20:52:00,7400 FRIARS ROAD,32.764082,-117.19319499999999
161,2017-01-06 21:22:00,4200 04TH AVENUE,39.78373,-100.445882
162,2017-01-06 22:51:00,4500 MONTEZUMA ROAD,32.770813000000004,-117.07755800000001
163,2017-01-06 23:30:00,18400 SAN PASQUAL VALLEY ROAD,33.115806,-117.05887299999999
164,2017-01-07 02:50:00,6400 EDMONTON AVENUE,32.858578,-117.20208000000001
165,2017-01-07 03:05:00,6600 CRABTREE STREET,32.692276,-117.05571
166,2017-01-07 07:15:00,0 FRONT STREET,32.718819,-117.164726
167,2017-01-07 07:48:00,3700 CAM DEL RIO  ,39.78373,-100.445882
168,2017-01-07 08:38:00,8000 EL PASEO GRANDE  ,32.86114,-117.25468899999998
169,2017-01-07 11:20:00,3400 VIA TONGA  ,32.579494,-117.061256
170,2017-01-07 12:30:00,6600 KELLY STREET,32.782238,-117.17468999999998
171,2017-01-07 13:02:00,10300 CAM RUIZ  ,39.78373,-100.445882
172,2017-01-07 14:06:00,4400 MORAGA AVENUE,32.811321,-117.21125
173,2017-01-07 14:30:00,3100 IRIS AVENUE,32.569121,-117.06621499999999
174,2017-01-07 16:30:00,500 ROBINSON AVENUE,32.746947,-117.16041799999999
175,2017-01-07 16:45:00,3500 ROSA LINDA STREET,32.572666,-117.058067
176,2017-01-07 17:10:00,7300 CLAIREMONT MESA BOULEVARD,32.827768,-117.206741
177,2017-01-07 17:47:00,0 GRANADA AVENUE,32.745277,-117.131882
178,2017-01-07 18:00:00,4900 NEWPORT AVENUE,32.743681,-117.245865
179,2017-01-07 19:06:00,4400 COLLEGE AVENUE,32.785197,-117.06251100000001
180,2017-01-07 19:20:00,600 24TH STREET,32.716839,-117.14248700000002
181,2017-01-07 20:07:00,4300 ALVARADO CANYON ROAD,32.782865,-117.086481
182,2017-01-07 20:18:00,7800 STALMER STREET,32.807885,-117.15597700000001
183,2017-01-07 21:00:00,7300 CLAIREMONT MESA BOULEVARD,32.827768,-117.206741
184,2017-01-07 21:30:00,700 F STREET,32.713676,-117.149472
185,2017-01-07 22:00:00,1000 ALBERTA PLACE,32.748024,-117.17366100000001
186,2017-01-07 22:12:00,1600 WEST MISSION BAY DRIVE,32.771993,-117.250171
187,2017-01-08 00:00:00,2100 BURROUGHS STREET,32.780533,-117.16696200000001
188,2017-01-08 00:01:00,3100 ADAMS AVENUE,32.76248,-117.14356200000002
189,2017-01-08 00:17:00,2700 GARNET AVENUE,32.801827,-117.2316
190,2017-01-08 00:30:00,0 47TH STREET,32.724009,-117.093799
191,2017-01-08 00:35:00,0 WIGHTMAN STREET,32.746803,-117.090652
192,2017-01-08 00:57:00,2500 GENESEE AVENUE,32.888282000000004,-117.23196599999999
193,2017-01-08 02:00:00,4800 ORANGE AVENUE,32.754063,-117.12516000000001
194,2017-01-08 02:10:00,1100 25TH STREET,32.716339000000005,-117.14028200000001
195,2017-01-08 02:55:00,4900 70TH STREET,32.773457,-117.046501
196,2017-01-08 03:00:00,3500 DEAVER LANE,32.550343,-117.053307
197,2017-01-08 03:13:00,4200 EL CAJON BOULEVARD,32.755388,-117.104721
198,2017-01-08 05:40:00,6000 PARKSIDE AVENUE,32.669075,-117.05023200000001
199,2017-01-08 10:10:00,6900 LA JOLLA BOULEVARD,32.834496,-117.277473
200,2017-01-08 11:08:00,7200 JAMACHA ROAD,32.71771,-117.02605
201,2017-01-08 11:34:00,4100 BALBOA AVENUE,32.807522999999996,-117.212574
202,2017-01-08 11:45:00,12300 BLACK MTN ROAD,32.985014,-117.13178799999999
203,2017-01-08 12:15:00,2900 MORENA BOULEVARD,32.821923999999996,-117.226652
204,2017-01-08 12:28:00,3600 NILE STREET,32.735178000000005,-117.11652099999999
205,2017-01-08 13:06:00,12400 EL CAMINO REAL  ,32.943391,-117.240946
206,2017-01-08 13:25:00,3600 NILE STREET,32.735178000000005,-117.11652099999999
207,2017-01-08 13:42:00,3600 SPORTS ARENA BOULEVARD,32.754911,-117.21956000000002
208,2017-01-08 14:55:00,2800 WOMBLE ROAD,32.735084,-117.21654199999999
209,2017-01-08 15:00:00,3900 VERMONT STREET,32.741717,-117.153374
210,2017-01-08 15:00:00,1000 25TH STREET,32.716339000000005,-117.14028200000001
211,2017-01-08 15:15:00,700 30TH STREET,32.757576,-117.130174
212,2017-01-08 15:17:00,3200 LA JOLLA VILLAGE DRIVE,32.871776000000004,-117.233775
213,2017-01-08 16:30:00,1800 EBERS STREET,32.739437,-117.249496
214,2017-01-08 17:55:00,500 SEA WORLD DRIVE,32.767028,-117.22823500000001
215,2017-01-08 18:04:00,1500 GUIZOT STREET,32.742805,-117.241302
216,2017-01-08 18:15:00,3600 MURPHY CANYON ROAD,32.809474,-117.11666699999999
217,2017-01-08 18:25:00,4400 BOUNDARY STREET,32.74824,-117.12305
218,2017-01-08 21:30:00,4300 UNIVERSITY AVENUE,32.748466,-117.155378
219,2017-01-08 23:20:00,1000 BROADWAY  ,32.808082,-116.947703
220,2017-01-09 00:01:00,3200 HOLIDAY COURT,32.8703,-117.233006
221,2017-01-09 02:10:00,2800 EL CAJON BOULEVARD,32.755155,-117.14633700000002
222,2017-01-09 03:17:00,200 WILLOW ROAD,32.547619,-117.04235800000001
223,2017-01-09 05:50:00,9900 POMERADO ROAD,33.055288,-117.06995800000001
224,2017-01-09 10:07:00,4600 CARMEL MTN ROAD,32.916585999999995,-117.236696
225,2017-01-09 10:25:00,4100 OHIO STREET,32.76122,-117.12895
226,2017-01-09 10:30:00,3200 MOBLEY STREET,32.796131,-117.13535300000001
227,2017-01-09 11:00:00,300 MIDWAY STREET,32.812057,-117.26918
228,2017-01-09 11:40:00,2300 PACIFIC HIGHWAY,32.753739,-117.200823
229,2017-01-09 11:46:00,800 PICADOR BOULEVARD,32.576716999999995,-117.057266
230,2017-01-09 12:16:00,8800 COMPLEX DRIVE,32.829948,-117.13687900000001
231,2017-01-09 13:30:00,13800 CARMEL VALLEY ROAD,32.93201,-117.241956
232,2017-01-09 14:00:00,2900 GRAPE STREET,32.726154,-117.162071
233,2017-01-09 14:33:00,1200 BRIARWOOD ROAD,32.68393,-117.03324099999999
234,2017-01-09 16:15:00,0 MONROE AVENUE,32.759098,-117.14502
235,2017-01-09 16:23:00,1600 PACIFIC HIGHWAY,32.753739,-117.200823
236,2017-01-09 17:20:00,5900 RANCHO MISSION ROAD,32.781498,-117.11176
237,2017-01-09 17:30:00,8400 CLAIREMONT  ,32.797271,-117.192535
238,2017-01-09 17:30:00,13400 PACIFIC HIGHLANDS PARKWAY,39.78373,-100.445882
239,2017-01-09 18:30:00,2700 GARNET AVENUE,32.801827,-117.2316
240,2017-01-09 22:00:00,4600 WEST POINT LOMA BOULEVARD,32.751808000000004,-117.23483999999999
241,2017-01-09 23:20:00,1400 CACTUS RIDGE STREET,39.78373,-100.445882
242,2017-01-10 00:01:00,2800 COMMERCIAL STREET,32.705234999999995,-117.151614
243,2017-01-10 00:01:00,6500 REFLECTION DRIVE,32.792343,-117.107681
244,2017-01-10 01:16:00,3800 36TH STREET,32.706107,-117.11681899999999
