,date_time,street_name
254,2017-01-10 16:00:00,6500 COLLEGE GROVE DRIVE
255,2017-01-10 16:10:00,2500 GENESEE AVENUE
256,2017-01-10 16:27:00,10100 CARROLL CANYON ROAD
257,2017-01-10 17:43:00,6000 MIRAMAR ROAD
258,2017-01-10 18:04:00,3800 10TH AVENUE
259,2017-01-10 18:11:00,10000 MIRAMAR WAY
260,2017-01-10 18:51:00,10600 SCIENCE CENTER DRIVE
261,2017-01-10 19:25:00,5600 CLAIREMONT MESA BOULEVARD
262,2017-01-10 20:50:00,0 16TH STREET
263,2017-01-10 20:56:00,3200 MIDWAY DRIVE
264,2017-01-10 22:00:00,4500 BAYARD STREET
265,2017-01-10 22:29:00,6700 DEL CERRO BOULEVARD
266,2017-01-11 00:01:00,500 HOTEL CIRCLE
267,2017-01-11 02:15:00,300 05TH AVENUE
268,2017-01-11 06:59:00,5000 SANTO ROAD
269,2017-01-11 07:57:00,3100 06TH AVENUE
270,2017-01-11 08:20:00,1500 E STREET
271,2017-01-11 09:37:00,7700 FRIARS ROAD
272,2017-01-11 10:30:00,1200 17TH STREET
273,2017-01-11 11:33:00,4600 ORANGE AVENUE
274,2017-01-11 11:48:00,9300 TWIN TRAILS DRIVE
275,2017-01-11 12:30:00,12200 SAUCILLO  
276,2017-01-11 12:30:00,6900 EL CAJON BOULEVARD
277,2017-01-11 12:34:00,4200 INGRAHAM STREET
278,2017-01-11 12:45:00,1600 EUCLID AVENUE
279,2017-01-11 13:46:00,8600 LAKE MURRAY BOULEVARD
280,2017-01-11 14:25:00,0 26TH STREET
281,2017-01-11 14:54:00,400 BROOKES AVENUE
282,2017-01-11 15:10:00,1000 LAW STREET
283,2017-01-11 15:15:00,10900 SCRIPPS POWAY PARKWAY
284,2017-01-11 15:25:00,2800 46TH STREET
285,2017-01-11 16:02:00,8300 WESTMORE ROAD
286,2017-01-11 17:00:00,8900 MIRA MESA BOULEVARD
287,2017-01-11 17:55:00,17400 BERNARDO CENTER DRIVE
288,2017-01-11 18:21:00,5800 COPLEY DRIVE
289,2017-01-11 18:54:00,9200 MIRA MESA BOULEVARD
290,2017-01-11 20:23:00,900 MORENA BOULEVARD
291,2017-01-11 21:00:00,1300 GOSHEN STREET
292,2017-01-11 21:07:00,700 PICCARD AVENUE
293,2017-01-11 23:03:00,9100 LA JOLLA VILLAGE DRIVE
294,2017-01-11 23:13:00,800 EMERALD STREET
295,2017-01-11 23:34:00,4300 GENESEE AVENUE
296,2017-01-12 01:00:00,12800 LUNADA PLACE
297,2017-01-12 08:07:00,5200 COLLEGE AVENUE
298,2017-01-12 08:21:00,5200 IMPERIAL AVENUE
299,2017-01-12 10:28:00,10700 WESTVIEW PARKWAY
300,2017-01-12 10:29:00,10700 WESTVIEW PARKWAY
301,2017-01-12 11:55:00,2800 NATIONAL AVENUE
302,2017-01-12 14:08:00,2400 WEST MISSION BAY DRIVE
303,2017-01-12 14:08:00,2400 WEST MISSION BAY DRIVE
304,2017-01-12 14:15:00,700 16TH STREET
305,2017-01-12 14:44:00,1200 CAM DEL RIO  
306,2017-01-12 14:50:00,4400 VIEWRIDGE AVENUE
307,2017-01-12 16:00:00,8800 JUDICIAL DRIVE
308,2017-01-12 16:00:00,4900 DUBOIS DRIVE
309,2017-01-12 17:07:00,2600 EL CAJON BOULEVARD
310,2017-01-12 17:40:00,4300 REDWOOD STREET
311,2017-01-12 17:55:00,5000 MONROE AVENUE
312,2017-01-12 18:50:00,4200 PALM AVENUE
313,2017-01-12 18:55:00,3000 MISSION BOULEVARD
314,2017-01-12 19:00:00,1200 09TH AVENUE
315,2017-01-12 23:15:00,4000 PEPPER DRIVE
316,2017-01-12 23:33:00,4100 NORMAL STREET
317,2017-01-13 00:30:00,4300 KEARNY MESA ROAD
318,2017-01-13 01:05:00,4000 INGRAHAM STREET
319,2017-01-13 01:50:00,3300 CHANNEL WAY
320,2017-01-13 06:00:00,10700 CAM RUIZ  
321,2017-01-13 06:26:00,600 B STREET
322,2017-01-13 07:14:00,600 25TH STREET
323,2017-01-13 08:50:00,1300 10TH AVENUE
324,2017-01-13 09:44:00,2900 SUNSET CLIFFS BOULEVARD
325,2017-01-13 13:55:00,3100 SPORTS ARENA BOULEVARD
326,2017-01-13 15:20:00,500 FASHION VALLEY ROAD
327,2017-01-13 15:39:00,1100 OLIVER AVENUE
328,2017-01-13 15:55:00,7700 REGENTS ROAD
329,2017-01-13 16:00:00,4400 BAYARD STREET
330,2017-01-13 17:00:00,1000 33RD STREET
331,2017-01-13 17:37:00,100 LAUREL STREET
332,2017-01-13 17:41:00,2100 NIELS BOHR COURT
333,2017-01-13 17:44:00,0 01ST AVENUE
334,2017-01-13 17:50:00,2400 MURRAY RIDGE ROAD
335,2017-01-13 18:06:00,1600 EUCLID AVENUE
336,2017-01-13 18:23:00,700 WASHINGTON STREET
337,2017-01-13 19:40:00,3400 ADAMS AVENUE
338,2017-01-13 20:22:00,4000 LA JOLLA VILLAGE DRIVE
339,2017-01-13 20:40:00,2300 MOORE STREET
340,2017-01-13 20:40:00,1100 GRAND AVENUE
341,2017-01-13 21:45:00,3600 COLLEGE AVENUE
342,2017-01-13 21:45:00,3600 COLLEGE AVENUE
343,2017-01-13 22:12:00,8200 GILMAN DRIVE
344,2017-01-13 23:00:00,500 ROBINSON AVENUE
345,2017-01-13 23:20:00,600 16TH STREET
346,2017-01-14 00:01:00,3100 MISSION BOULEVARD
347,2017-01-14 00:01:00,7000 FRIARS ROAD
348,2017-01-14 00:02:00,10 25TH STREET
349,2017-01-14 00:55:00,3200 NORTH PARK WAY
350,2017-01-14 00:56:00,11900 TED WILLIAMS PARKWAY
351,2017-01-14 03:00:00,0 05TH AVENUE
352,2017-01-14 07:57:00,5900 FEDERAL BOULEVARD
353,2017-01-14 08:30:00,9900 AERO DRIVE
354,2017-01-14 08:40:00,4200 DEL SOL BOULEVARD
355,2017-01-14 09:06:00,3300 FAIRMOUNT AVENUE
356,2017-01-14 09:52:00,1400 43RD STREET
357,2017-01-14 09:53:00,6800 SKYLINE DRIVE
358,2017-01-14 10:34:00,4900 EL CAJON BOULEVARD
359,2017-01-14 10:50:00,900 SILVERADO STREET
360,2017-01-14 11:35:00,4600 EL CAJON BOULEVARD
361,2017-01-14 12:00:00,2200 BROADWAY  
362,2017-01-14 12:51:00,5300 TROJAN AVENUE
363,2017-01-14 13:22:00,13600 EL CAMINO REAL  
364,2017-01-14 16:30:00,2500 ISLAND AVENUE
365,2017-01-14 17:00:00,1600 KNOXVILLE STREET
366,2017-01-14 17:50:00,800 BROADWAY  
367,2017-01-14 17:58:00,5000 AUBURN DRIVE
368,2017-01-14 18:14:00,7700 PARADISE VALLEY ROAD
369,2017-01-14 18:40:00,1300 WEST MUIRLANDS DRIVE
370,2017-01-14 19:06:00,9900 FRIARS ROAD
371,2017-01-14 20:30:00,5100 BAYARD STREET
372,2017-01-14 21:27:00,2900 MURRAY RIDGE ROAD
373,2017-01-14 21:45:00,5900 LINDA VISTA ROAD
374,2017-01-14 21:53:00,5300 UNIVERSITY AVENUE
375,2017-01-14 22:26:00,0 HAWTHORN STREET
376,2017-01-14 22:45:00,0 06TH AVENUE
377,2017-01-14 23:00:00,4600 HOME AVENUE
378,2017-01-14 23:35:00,0 NIMITZ BOULEVARD
379,2017-01-14 23:38:00,4000 CROWN POINT DRIVE
380,2017-01-14 23:38:00,4000 CROWN POINT DRIVE
381,2017-01-15 00:01:00,7100 BARKER WAY
382,2017-01-15 00:01:00,2700 SHELTER ISLAND DRIVE
383,2017-01-15 02:29:00,0 AUBURN DRIVE
384,2017-01-15 03:30:00,800 E STREET
385,2017-01-15 04:15:00,3600 MT ARIANE DRIVE
386,2017-01-15 10:07:00,5400 COMPLEX STREET
387,2017-01-15 10:28:00,6800 EL CAJON BOULEVARD
388,2017-01-15 10:43:00,3600 ROSECRANS STREET
389,2017-01-15 12:54:00,4700 IMPERIAL AVENUE
390,2017-01-15 14:00:00,1200 GARNET AVENUE
391,2017-01-15 14:00:00,3300 REO DRIVE
392,2017-01-15 17:24:00,4100 MARLESTA DRIVE
393,2017-01-15 18:00:00,3600 GENESEE AVENUE
394,2017-01-15 20:20:00,4100 PARK BOULEVARD
395,2017-01-15 20:20:00,4100 PARK BOULEVARD
396,2017-01-15 20:25:00,2200 HOWARD AVENUE
397,2017-01-15 20:51:00,4800 INGRAHAM STREET
398,2017-01-15 23:26:00,8400 ABBOTSHILL ROAD
399,2017-01-16 00:01:00,600 HAWTHORN STREET
400,2017-01-16 00:01:00,4700 CAMBERLEY COURT
401,2017-01-16 02:14:00,4100 EVERTS STREET
402,2017-01-16 02:25:00,3800 KEATING STREET
403,2017-01-16 05:00:00,4600 SANTA MONICA AVENUE
404,2017-01-16 05:23:00,1600 IMPERIAL AVENUE
405,2017-01-16 08:48:00,3000 06TH AVENUE
406,2017-01-16 09:40:00,3100 COLLURA STREET
407,2017-01-16 11:51:00,2900 EL CAJON BOULEVARD
408,2017-01-16 14:00:00,11800 RANCHO CARMEL DRIVE
409,2017-01-16 14:14:00,13600 NOB AVENUE
410,2017-01-16 14:40:00,300 16TH STREET
411,2017-01-16 15:45:00,3500 GOVERNOR DRIVE
412,2017-01-16 16:10:00,5800 MADISON AVENUE
413,2017-01-16 16:44:00,1200 UNIVERSITY AVENUE
414,2017-01-16 18:47:00,8000 GIRARD AVENUE
415,2017-01-16 18:50:00,6900 EL CAJON BOULEVARD
416,2017-01-16 20:00:00,1800 LOGAN AVENUE
417,2017-01-16 20:41:00,3700 03RD AVENUE
418,2017-01-16 21:07:00,4600 CLAIREMONT MESA BOULEVARD
419,2017-01-16 21:15:00,2400 TORREY PINES ROAD
420,2017-01-16 22:33:00,0 MICHAEL FARADAY DRIVE
421,2017-01-16 23:20:00,4200 ORANGE AVENUE
422,2017-01-17 00:01:00,8800 VILLA LA JOLLA DRIVE
423,2017-01-17 00:49:00,4000 UNIVERSITY AVENUE
424,2017-01-17 00:54:00,3800 LOGAN AVENUE
425,2017-01-17 03:11:00,8400 BAVARIAN WAY
426,2017-01-17 07:15:00,9200 HILLERY DRIVE
427,2017-01-17 07:45:00,11500 PHANTOM LANE
428,2017-01-17 07:50:00,15000 OF SCIENCE  
429,2017-01-17 07:52:00,10800 CLAIREMONT MESA BOULEVARD
430,2017-01-17 08:00:00,3200 HARBOR DRIVE
431,2017-01-17 09:10:00,4200 GENESEE AVENUE
432,2017-01-17 09:10:00,900 WASHINGTON STREET
433,2017-01-17 10:00:00,200 WILLOW ROAD
434,2017-01-17 11:00:00,0 UNKNOWN  
435,2017-01-17 11:20:00,1600 G STREET
436,2017-01-17 12:00:00,2100 GARNET AVENUE
437,2017-01-17 13:00:00,4100 ILLINOIS STREET
438,2017-01-17 13:00:00,34800 BOB WILSON DRIVE
439,2017-01-17 13:16:00,5300 CHOLLAS PARKWAY
440,2017-01-17 13:53:00,6500 MISSION GORGE ROAD
441,2017-01-17 15:17:00,0 LORING STREET
442,2017-01-17 15:19:00,2300 FENTON PARKWAY
443,2017-01-17 15:29:00,1200 LAUREL STREET
444,2017-01-17 16:37:00,13800 CARMEL RIDGE ROAD
