,street_name,average_total_count,collisions,lat,lng
428,GRAPE ST,299.3703703703704,35,32.726154,-117.162071
429,GRAYDON RD,539.0,1,32.954746,-117.225937
430,GREENBRIER AV,1059.0,1,32.794453,-117.07769
431,GREENFORD DR,1134.5,4,32.911411,-117.131349
432,GREYLING DR,331.0,2,32.796387,-117.142341
433,GROVE AV,1621.666666666667,8,33.174135,-117.332574
434,GULLSTRAND ST,124.0,1,32.852638,-117.191063
435,HAINES ST,442.25,10,32.793556,-117.240913
436,HALF MILE DR,416.8,1,32.962083,-117.233984
437,HAMMOND DR,874.25,3,32.80447,-117.136497
438,HANCOCK ST,272.0,30,32.741941,-117.183169
441,HARBOR DR,120.32653061224491,48,33.210175,-117.38751
444,HARNEY ST,142.5,9,32.752781,-117.194908
448,HAWK ST,578.4,3,32.750468,-117.17232
449,HAWTHORN ST,1214.8076923076926,32,32.727203,-117.162079
452,HEINRICH HERTZ DR,2037.0,1,32.558594,-116.938347
453,HERITAGE RD,140.71428571428572,7,32.570717,-116.996847
454,HERMES ST,415.0,1,32.571037,-117.099243
455,HERSCHEL AV,239.33333333333331,9,32.845592,-117.272838
456,HIBERT ST,799.4,7,32.913837,-117.113876
457,HICKMAN FIELD DR,1136.75,1,32.837044,-117.168121
459,HIGH BLUFF DR,129.33333333333334,5,32.947929,-117.240741
462,HIGHLAND VALLEY RD,189.9,3,33.05291,-117.067131
464,HILL ST,906.25,5,32.724964,-117.251923
465,HILLERY DR,1495.571428571429,16,32.912883,-117.118977
466,HILLSIDE DR,191.25,2,32.84409,-117.255333
467,HILLTOP DR,260.6923076923077,14,32.715061,-117.093582
468,HOLIDAY CT,1575.0,4,32.8703,-117.233006
469,HOLLISTER ST,63.95,26,32.572815,-117.084095
471,HOME AV,712.12,85,32.723763,-117.106514
474,HOWARD AV,257.5555555555556,20,32.754051,-117.135734
475,HUGHES ST,682.0,3,32.745914,-117.068298
476,HUGO ST,2008.0,1,32.729179,-117.23278
481,ILLION ST,677.6666666666666,1,32.788853,-117.197807
482,IMPERIAL AV,156.68888888888893,268,32.706352,-117.138117
483,INDIA ST,120.74137931034485,46,32.741543,-117.17971
485,INGRAHAM ST,929.0217391304348,125,32.798855,-117.240562
486,INGULF ST,928.2,1,32.789425,-117.204643
487,INNOVATION DR,1670.25,12,32.99176,-117.076897
488,IRIS AV,864.375,20,32.568956,-117.076032
490,ISLAND AV,1376.5,45,32.710911,-117.122253
491,IVANHOE AV,444.0,4,32.846999,-117.272004
493,JACKSON DR,331.1111111111111,25,32.814492,-117.054766
